id,dialogue,summary
8eb9db90,"Kayla: car is makin a weird noise
Alex: whats the noise sound like
Kayla: like a grindin sound
Alex: thats not good u should get it checked",Kayla's car is making a strange grinding noise and Alex recommends getting it checked.
74953758,"Cameron: just beat dark souls
Jackson: nice job
Cameron: thx thats one tough game
Jackson: yea i know rn im stuck on this one level","Cameron beats Dark Souls and Jackson congratulates him, while also sharing his own struggles with the game."
7fcca48d,"Sofia: hey have u got any tips for my job interview
Daniel: yea just be confident
Sofia: ok ill try
Daniel: and dont forget to dress professionally",Sofia asks Daniel for job interview tips and he advises her to be confident and dress professionally.
e376f4af,"Samantha: hey whats up
Emily: nm just got back from grocery shopping
Samantha: oh did u get milk?
Emily: yeah i did
Samantha: kewl i need some 2",A asks B if she bought milk while grocery shopping and B confirms she did.
bd73dee7,"Jason: dude idts how im gonna finish this homework
Mike: lol didnt u start it yet?
Jason: no i was thinkin bout startin it tmrw
Mike: u should do it rn",A is struggling to finish homework and B advises A to start working on it immediately.
5bfc133b,"Ryan: my code doesnt work
David: whats the error msg?
Ryan: it says syntax error
David: k send me the code
Ryan: k
David: i found the prob",A is having trouble with code and B helps A identify and fix the issue.
5d325b93,"Olivia: wyd tmrw?
Jackson: nothin u?
Olivia: wanna go on a road trip?
Jackson: thats a great idea
Olivia: k meet at 8",A invites B on a spontaneous road trip for the weekend and B agrees.
fad734cf,"Ava: hey i cant make it 2nite
Ethan: whats goin on?
Ava: im not feelin well
Ethan: aw ok take care
Ava: thx",A cancels plans with B due to not feeling well.
dc3f9e32,"Julian: guys we need 2 study 4 the exam
Sofia: when were u thinkin?
Julian: how bout 2moro?
Sofia: sounds good 2 me",A suggests a study group meeting to prepare for an exam and B agrees on the timing.
fbebd1f1,"Liam: hey sorry 2 cancel plans
Noah: everythin ok?
Liam: yeah just got a lot on my plate rn
Noah: no worries maybe some other time",A cancels plans with B due to being busy and B understands.
33310538,"Gabriella: my car wont start
Christopher: whats the prob?
Gabriella: idk it just wont turn on
Christopher: did u check the battery?",A is having car trouble and B suggests checking the battery as a possible solution.
6718f658,"Caleb: hey can i borrow 20 bucks?
Lucas: whats it 4?
Caleb: just need it 4 lunch
Lucas: k here u go",A asks to borrow money from B for lunch and B agrees to lend it.
10939cac,"Mia: u playin video games rn?
Alexander: yeah i am
Mia: what game?
Alexander: fortnite
Mia: nice i just started playin it 2",A asks B if they are playing video games and B shares the specific game they are currently playing.
658bee04,"Samantha: hey guys study group 2moro?
Hannah: yeah whats the plan?
Samantha: meet at lib at 2pm?
Hannah: sounds good to me
Alex: i'm in too
Samantha: awesome we can review for exam together","Samantha, Hannah, and Alex are meeting at the library at 2pm tomorrow for a study group."
88bf6197,"Jackson: hey guys my dog is lost
Emily: oh no whats his name?
Jackson: max he's a golden retriever
Emily: i saw him near the park
Jackson: thx emily i'll go look
Emily: good luck hope u find him","Jackson's dog, Max, is lost and Emily saw him near the park."
3ceb148d,"Ava: hey can u pet sit for me?
Liam: yeah whats the pay?
Ava: 20 bucks a day
Liam: sounds good to me
Ava: awesome thx liam u r a lifesaver",Ava asked Liam to pet sit and he agreed for $20 a day.
2c8f505a,"Ethan: hey whats a good gift for mom?
Mia: idk whats her style?
Ethan: umm shes into cooking
Mia: oh get her a cookbook then
Ethan: thx mia u r the best",Ethan asked Mia for gift ideas for his mom and she suggested a cookbook.
e12368de,"Logan: hey wanna hit the gym rn?
Noah: yeah i need to get swole
Logan: lol ok lets go
Noah: dont 4get ur protein shake
Logan: got it thx",Logan and Noah are going to the gym together.
c06cdb68,"Julian: hey can i borrow 20 bucks?
Gabriel: whats it for?
Julian: i forgot my wallet at home
Gabriel: ok here u go
Julian: thx gabriel i owe u one",Julian borrowed $20 from Gabriel because he forgot his wallet at home.
472da53f,"Sophia: hey can u do me a favor?
Oliver: whats up?
Sophia: can u pick up my sister from airport?
Oliver: yeah no prob
Sophia: thx oliver u r a lifesaver",Sophia asked Oliver to pick up her sister from the airport and he agreed.
e5416411,"Charlotte: hey got a good recipe for chicken?
Benjamin: yeah i have a sick one
Charlotte: whats in it?
Benjamin: umm lemme send u the recipe
Charlotte: thx benjamin cant w8 to try it",Charlotte asked Benjamin for a chicken recipe and he offered to send it to her.
97bc1d43,"Ryan: hey guys my dog is lost again
Isabella: omg whats wrong with u?
Ryan: lol shut up
Isabella: seriously tho whats his name?
Ryan: buddy hes a lab
Isabella: ok ill keep an eye out","Ryan's dog, Buddy, is lost again and Isabella offered to help look for him."
6e421096,"Caleb: hey my code isnt working
Alexander: whats the error?
Caleb: idk its just not running
Alexander: lemme take a look
Caleb: thx alexander i appreciate it",Caleb's code is not working and Alexander offered to help him debug it.
a89bef10,Alex: hey whats the best game rn?\nSam: lol idk u need to try out this new mario game\nAlex: is it worth it?\nSam: yessss,A asks B for a video game recommendation and B suggests a new Mario game.
f131907d,May: omg have u seen the new iphone?\nJake: yeah i just got it\nMay: how is it?\nJake: its alright i mean the battery life is pretty bad\nMay: lol what about the new samsung?\nJake: idts thats a better option,"A and B compare the new iPhone and Samsung phones, with B preferring the Samsung."
c4241685,Ben: hey im running super late\nEmily: lol whats wrong?\nBen: traffic is a nightmare\nEmily: ugh thats sucks,A informs B that they are running late due to traffic.
8f2e254c,Chris: uh my car wont start\nDavid: whats wrong with it?\nChris: idk i think its the battery\nDavid: try jump starting it,A's car won't start and B suggests trying to jump start it.
83921a3d,Olivia: hey do u have the homework for math?\nJackson: yeah i think its on the website\nOlivia: cool thx,A asks B for the math homework and B tells them it's on the website.
def8870f,Ava: omg im so sorry im late\nLiam: lol its alright whats wrong?\nAva: my bus was delayed\nLiam: ugh thats annoying,A apologizes to B for being late due to a delayed bus.
5fbc2c68,Ethan: hey do u want to study for the exam tmrw?\nMia: yeah thats a great idea\nEthan: cool ill come over at 2,A and B plan to study together for an exam the next day.
7617d659,Julia: hey want to go on a road trip this weekend?\nRyan: yeah thats sounds like so much fun\nJulia: awesome ill pick u up at 8,A invites B on a weekend road trip and they make plans to leave at 8am.
bb0cc846,Sofia: omg have u seen the new season of stranger things?\nNoah: yeah i just finished it\nSofia: whats it like?\nNoah: its so good,A asks B about the new season of Stranger Things and B highly recommends it.
63fcb0fb,Gabriel: hey do u want to meet up for a study group?\nSophia: yeah thats a great idea\nGabriel: cool ill send u the details,A invites B to a study group and offers to send them the details.
ee51d402,"Maria: hey tom, can u pls keep the noise down? some of us have to work tmrw
Tom: oh sorry maria, didnt realize it was that loud
Maria: yeah its pretty bad, can u close ur window?
Tom: k, sry again",Maria asks her neighbor Tom to keep the noise down because she has to work the next day.
5e46b6be,"John: hey sarah, i tried ur cookie recipe and they were amazing!!
Sarah: aw thx john, im glad u liked them
John: yeah i was wondering if u could give me the recipe for ur famous chicken wings?
Sarah: lol ok, but u have to promise not to share it with anyone
John: i promise, i wont tell a soul",John asks Sarah for her chicken wings recipe after trying her cookie recipe.
4a92396f,"Emily: ugh, this weather is so annoying
David: i know, right? its been raining for days
Emily: i just want to go to the beach already
David: me too, summer cant come soon enough",Emily and David complain about the weather and wish it was summer already.
c90b01e9,"James: hey, my wifi isnt working
Tech Support: ok, can u try restarting ur router?
James: yeah i tried that already
Tech Support: ok, in that case can u please provide me with ur wifi password?",James contacts tech support because his wifi is not working and they try to troubleshoot the issue.
e3d72013,"Michael: hey, somethin came up and i wont be able to make it to the party tmrw
Jessica: aw ok, thats too bad
Michael: yeah i feel terrible, maybe some other time?
Jessica: yeah def, lets catch up soon",Michael cancels his plans to attend a party with Jessica due to unforeseen circumstances.
e0b9e518,"Lisa: hey mark, can u pls stop parking ur car in front of my house?
Mark: sorry lisa, i didnt think it was a big deal
Lisa: its just really frustrating, can u park it somewhere else?
Mark: fine, i'll try to remember",Lisa asks her neighbor Mark to stop parking his car in front of her house because it is frustrating for her.
d4873c37,"Rachel: has anyone seen my dog, max? he's been missing since last night
Tom: no, i havent seen him
Rachel: if anyone sees him pls let me know, im really worried
Tom: dont worry, we'll find him",Rachel loses her dog Max and asks her neighbors if they have seen him.
14c59280,"Chris: hey dan, can i borrow some money? i'm in a tight spot
Dan: how much do u need?
Chris: just 20 bucks, i'll pay u back as soon as i can
Dan: ok, but u have to promise me u'll pay me back",Chris asks his friend Dan for a loan of 20 dollars because he is in a tight financial spot.
743d3acd,"Olivia: hey, i've been looking for a good recipe for vegan lasagna
Ava: oh, i have a great one! i can send it to u
Olivia: that would be amazing, thank you
Ava: no problem, happy to share",Olivia asks Ava for a vegan lasagna recipe and Ava agrees to share it with her.
0d20c929,"Kevin: hey, have u heard about the new boss?
Samantha: yeah, i heard he's really tough
Kevin: yeah, i'm a bit worried
Samantha: dont worry, we'll get used to him eventually",Kevin and Samantha discuss the new boss at their workplace and express their concerns about him.
d671dbcc,"Emily: hey can u pls keep it down rn
Matt: whats wrong
Emily: u r being kinda loud
Matt: sry didnt realize
Emily: just trying to sleep
Matt: k ill try to keep it down",Emily asks her roommate Matt to keep the noise down so she can sleep.
372b63a0,"Sofia: hey do u wanna go to yoga tmrw
Alex: idk what time r u thinking
Sofia: like 9 am
Alex: sounds good to me
Sofia: cool ill meet u there",Sofia and Alex plan to attend a yoga class together at 9 am the next day.
a4533a04,"Jack: hey whats up for 2nite
Sarah: idts u
Jack: lol how about dinner and a movie
Sarah: that sounds boring
Jack: ok what do u want to do then
Sarah: idk u choose",Jack and Sarah are discussing plans for their date night and cannot decide on an activity.
9040a2bd,"Ryan: just got to the next level on fortnite
Noah: nice whats ur score
Ryan: 20 kills
Noah: lol i just got 15
Ryan: gg noah
Noah: thx",Ryan and Noah are competing with each other on the video game Fortnite.
9cfdddde,"Mia: hey sorry but i gotta cancel 2nite
Ethan: aw ok whats wrong
Mia: just got a lot of work to do
Ethan: k no worries maybe some other time
Mia: yeah sorry again",Mia cancels her plans with Ethan due to having too much work to do.
ea95f94b,"Chris: gotta study for my exam rn
Ben: which one
Chris: math
Ben: lol u will do fine
Chris: thx ben
Ben: np",Chris is studying for his math exam and Ben is trying to reassure him that he will do well.
39119fab,"David: so what do u think i should ask for
Hannah: umm how about 50k
David: thats a bit high dont u think
Hannah: idk u deserve it
David: lol thx",David and Hannah are discussing how much David should ask for in salary negotiations.
3fe2cb24,"Olivia: hey sorry cant make it 2nite
Liam: whats wrong
Olivia: just not feeling well
Liam: aw ok feel better
Olivia: thx",Olivia cancels her plans with Liam due to not feeling well.
3a9a3a2a,"Julian: ugh i cant find my keys anywhere
Gabriel: lol did u check ur room
Julian: yeah i already looked
Gabriel: maybe u should retrace ur steps
Julian: k good idea",Julian lost his keys and Gabriel is trying to help him find them.
2e65f24a,"Ava: running a bit behind sorry
Isaac: k how long
Ava: like 10 mins
Isaac: ok ill wait
Ava: thx",Ava is running late and lets Isaac know that she will be 10 minutes late.
fd273e98,"Emily: hey im feelin pretty crappy rn
Sarah: whats wrong??
Emily: idk just got a lot on my mind and my body hurts
Sarah: aw dont worry ull be ok",Emily is feeling unwell and Sarah is trying to comfort her.
a1d3bb83,"John: wooo we won the game!!!!
Mike: yesssssssss
John: i told u we could do it
Mike: lol ur a genius
John: thx man",John and Mike are celebrating their team's win in a sports match.
7ea5d760,"David: hey i dont think i can make it 2nite
Jessica: aw why not??
David: somethin came up at work
Jessica: ok thats fine i understand",David is canceling plans with Jessica due to work-related issues.
be1adf74,"Rachel: omg did u hear about john and his boss??
Chris: no whats goin on??
Rachel: apparently they got into a huge fight
Chris: wow thats crazy",Rachel and Chris are discussing workplace gossip about John and his boss.
254d009b,"Oliver: hey wut r u in the mood 4 2nite??
Lily: idk wut r u thinkin??
Oliver: we could go see a movie or get dinner
Lily: thats sounds gr8",Oliver and Lily are discussing ideas for a date night.
976d3736,"Ava: hey i dont think i can go 2 the party 2nite
Ethan: aw come on its gonna b fun
Ava: i dont know i just dont feel like it
Ethan: ok fine",Ava is canceling plans to attend a party with Ethan.
e2a625a8,"Julian: hey man i dont think i can make it 2 the concert
Daniel: whats wrong??
Julian: somethin unexpected came up
Daniel: thats a bummer",Julian is canceling plans to attend a concert with Daniel.
191a6c2b,"Samantha: ugh my car wont start
Alex: thats frustrating
Samantha: i know i dont know wut 2 do
Alex: do u want me 2 take a look?",Samantha is having car trouble and Alex is offering to help.
76a1155f,"Isabella: i cant believe he did that
Ryan: i know me neither
Isabella: i think were done 4 good
Ryan: yeah i think u deserve better",Isabella and Ryan are discussing a breakup and Isabella's ex's behavior.
bb5815f5,"Gabriella: hey do u want 2 go 2 yoga w/ me 2moro??
Kevin: yeah thats sounds awesome
Gabriella: cool i was thinkin we could go 2 the 10am class
Kevin: ok that works 4 me",Gabriella and Kevin are making plans to attend a yoga class together.
e663abd4,"Samantha: omg have u seen the new guy in hr?
Emily: yeah i know him from college lol
Samantha: no way!! what's he like?
Emily: pretty cool i guess
Samantha: idts he looks so boring",Samantha and Emily gossip about the new HR employee at their workplace.
178399f4,"Alex: hey wanna exchange recipes?
Ben: yeah i've been looking for a new pasta dish
Alex: omg i have the best one!!
Ben: ok whats in it?
Alex: uh lets see... pasta, sauce, cheese...
Ben: lol thats not a recipe
Alex: oh sorry!! i can send u the actual one","Alex and Ben discuss exchanging recipes, with Alex offering to share a pasta dish."
556fc402,"David: hey man i need help with this furniture assembly
Chris: whats not going right?
David: idk i just cant figure it out lol
Chris: ok send me a pic of the instructions
David: k... okay thats done
Chris: alright i think i see the problem","David asks Chris for help with assembling furniture, and Chris offers to assist via pictures of the instructions."
f09e14d7,"Mia: we should get a gift for sarah's bday
Ryan: yeah i was thinking that too!!
Mia: whats her style like?
Ryan: umm... she likes pink and sparkly things
Mia: lol okay got it!!
Ryan: wanna go shopping tmrw?","Mia and Ryan plan to buy a birthday gift for Sarah, considering her style and planning to shop the next day."
c5d60c7f,"Kevin: hey have u seen my dog?
Laura: no i havent... when did u last see him?
Kevin: like an hour ago...
Laura: dont worry we'll find him!!
Kevin: ty so much laura!!","Kevin asks Laura for help finding his lost dog in the neighborhood, and Laura offers reassurance and assistance."
ff75df75,"Julia: ugh my roommate is being so loud
Mike: whats going on?
Julia: idk... she's just blasting music
Mike: lol maybe u should talk to her?
Julia: i dont know... i dont wanna be rude","Julia complains to Mike about her noisy roommate, and Mike suggests she address the issue directly."
2b080f3e,"Hannah: hey can u pet sit for me?
Eric: yeah sure!! when r u leaving?
Hannah: tmrw morning...
Eric: ok got it!!
Hannah: ty so much eric!!","Hannah asks Eric to pet sit for her, and Eric agrees, discussing the details of her trip."
7791cb61,"Olivia: omg have u played the new video game?
Jackson: yeah i just started it!!
Olivia: lol whats ur username?
Jackson: uh... i forgot
Olivia: lmao thats amazing","Olivia and Jackson discuss the new video game, with Olivia asking about Jackson's username."
faade939,"Ava: hey whats the plan for the family reunion?
Ethan: idk... i thought u were handling it?
Ava: lol nope... i thought u were
Ethan: okay no worries... lets make a plan then","Ava and Ethan discuss the logistics of their upcoming family reunion, realizing they need to make a plan."
a3d34149,"Sophia: hey can i ask a favor?
Daniel: whats up?
Sophia: can u watch my cat for me?
Daniel: yeah sure!!
Sophia: aw ty so much daniel!!","Sophia asks Daniel to watch her cat, and Daniel agrees to help her out."
bc6b5898,"Mia: hey fam it's tgthr this wknd rn
Emily: yeah where r we meeting
Mia: grandma's place lol
Emily: ok c u soon",The family is having a reunion this weekend at their grandmother's place.
05cd36c6,"John: hey can u pls keep the noise down
Mike: wut r u talkin bout
John: ur music is too loud
Mike: idts its not that loud",John is complaining to Mike about the loud music coming from his apartment.
9bc47b77,"Alex: yay our team won
Sam: lmao wut a game
Alex: i know right
Sam: did u c that goal
Alex: omg yes",Alex and Sam are excitedly discussing their team's win in a sports match.
0c1cb596,"Maya: have u seen that new show
Jack: yeah i binge watched it lol
Maya: its so good rn
Jack: i know right the plot twist tho",Maya and Jack are discussing a new TV show they both enjoyed.
8fa9b440,"Ben: hey i was thinkin we cld have the reunion at my place
Lily: thats a great idea
Ben: we cld have a bbq
Lily: sounds like fun",Ben and Lily are discussing the logistics of their family reunion and decide to have it at Ben's place.
7fcff7dd,"Chris: hey sorry im running late
David: how long gonna b
Chris: like 10 mins
David: k see u soon",Chris is apologizing to David for running late and estimates he will arrive in 10 minutes.
3100ff30,"Sarah: hey can u pet sit my dog
Tom: yeah sure
Sarah: thanks so much
Tom: np wut r the instructions",Sarah is asking Tom to pet sit her dog and he agrees.
511cb5ba,"Olivia: have u seen that new movie
Ethan: yeah i saw it yesterday
Olivia: wut did u think
Ethan: its so overrated","Olivia and Ethan are discussing a new movie, with Ethan expressing his disappointment."
c08f7e9c,"Ava: which phone do u think is better
Noah: idk i like the new iphone
Ava: yeah me too but the samsung has a better camera
Noah: thats true","Ava and Noah are comparing the new iPhone and Samsung phones, considering their features."
d738b367,"Julian: hey my code isnt working
Ryan: wut error r u getting
Julian: it says syntax error
Ryan: try checking the brackets","Julian is asking Ryan for help with debugging his code, which has a syntax error."
7fdc5e4d,"Mia: hey im really upset rn
Julian: whats wrong?
Mia: u didnt call me yesterday
Julian: oh sry i was busy
Mia: thats not an excuse
Julian: i know im sry
Mia: i dont think i can do this anymore
Julian: dont say that
Mia: i mean it","Mia and Julian are having relationship problems because Julian didn't call Mia the previous day, leading Mia to consider breaking up with him."
58ce99b3,"Jake: u going to the gym today?
Ryan: yeah u?
Jake: yep
Ryan: hows ur workout plan?
Jake: trying to get some abs
Ryan: lol good luck
Jake: im serious
Ryan: ok ok ill come with u","Jake and Ryan are discussing their gym plans, with Jake trying to get abs and Ryan jokingly wishing him luck."
499442a8,"Emily: hey do u have a good cookie recipe?
Sarah: yeah i do
Emily: can u share?
Sarah: its pretty simple
Emily: ok whats the ingredients?
Sarah: flour, sugar, eggs...
Emily: okay got it
Sarah: and dont forget chocolate chips","Emily asks Sarah for a cookie recipe, and Sarah shares the ingredients and instructions."
1ed1075c,"David: my car wont start
Mike: whats wrong with it?
David: idk
Mike: did u check the battery?
David: yeah thats not it
Mike: maybe its the starter?
David: how do i check that?","David's car won't start, and Mike is trying to help him diagnose the problem, suggesting it could be the starter."
9054e81a,"Sophia: i have so much homework rn
Alex: same here
Sophia: how r u doing it all?
Alex: im just taking it one thing at a time
Sophia: thats a good idea
Alex: yeah and dont forget to take breaks","Sophia and Alex are both overwhelmed with homework, and Alex is advising Sophia to take it one step at a time and take breaks."
0fb86a58,"Ben: did u study for the exam?
Charlie: yeah i think im ready
Ben: im so nervous
Charlie: dont worry u'll do fine
Ben: i hope so
Charlie: just remember to read the questions carefully","Ben is nervous about an upcoming exam, and Charlie is trying to reassure him that he'll do well if he just reads the questions carefully."
7d8d255b,"Laura: hey can i borrow some money?
Tom: how much do u need?
Laura: like 20 bucks
Tom: ok i can lend u that
Laura: thanks so much
Tom: no problem just pay me back soon","Laura asks Tom for a loan of $20, and Tom agrees to lend it to her as long as she pays him back soon."
e6cc65e5,"Chris: u want to come to yoga with me?
Hannah: yeah that sounds great
Chris: its really good for flexibility
Hannah: i need that
Chris: okay ill meet u there at 5","Chris invites Hannah to a yoga class, and she agrees, hoping to improve her flexibility."
8f63b14a,"Olivia: whats the plan for tonight?
Jackson: idk what do u want to do?
Olivia: i was thinking we could go to the movies
Jackson: thats a good idea
Olivia: or we could just stay in and watch netflix","Olivia and Jackson are discussing plans for the evening, considering either going to the movies or staying in to watch Netflix."
5df188f7,"Gabriella: i need to book a flight to new york
Ethan: when do u want to go?
Gabriella: next friday
Ethan: okay let me check
Gabriella: how much is it?
Ethan: its around 200 bucks","Gabriella asks Ethan to help her book a flight to New York for the following Friday, and he quotes her a price of around $200."
47e342b3,"Samantha: hey need to get groceries rn
Emily: whats on ur list?
Samantha: milk bread and eggs
Emily: ok ill pick them up tmrw",Samantha and Emily are planning to go grocery shopping and making a list of necessary items.
17a5ab04,"John: hey have u booked ur flight?
Sarah: not yet idts whats the best site to use
John: i use expedia
Sarah: k thx",John and Sarah are discussing booking flight tickets and sharing recommendations for the best website to use.
05818a42,"Michael: omg did u hear about john and emily?
Laura: no whats up?
Michael: they got into a fight at the office
Laura: lol thats crazy",Michael and Laura are engaging in workplace gossip about their colleagues John and Emily.
b905651b,"Olivia: hey do u have a good recipe for chicken parmesan?
David: yeah i can share it with u
Olivia: awesome thx
David: btw u need to pound the chicken thin","Olivia and David are exchanging recipes, and David is providing cooking tips for chicken parmesan."
0d110693,"Chris: hey wanna go out tonight?
Kate: idk what did u have in mind?
Chris: we could go to the movies or play pool
Kate: sounds fun","Chris and Kate are discussing ideas for a fun date night, including going to the movies or playing pool."
a0344efa,"Alex: running super late sorry
Ben: lol no worries take ur time
Alex: stuck in traffic ugh
Ben: just be safe","Alex is running late and apologizing to Ben, who is understanding and telling Alex to prioritize safety."
e9513495,"Maya: whats for dinner?
Ryan: idk u?
Maya: i was thinking pizza or chinese
Ryan: pizza sounds good to me",Maya and Ryan are deciding what to eat for dinner and considering options like pizza or Chinese food.
bf6078f6,"Ethan: just got the new iphone
Lily: oh nice how is it?
Ethan: its okay the camera is really good
Lily: yeah i heard the samsung is better","Ethan and Lily are comparing their new phones, discussing the features and which one is better."
e3447e4f,"Jackson: ugh cant assemble this furniture
Sophia: lol what happened?
Jackson: instructions are so confusing
Sophia: send me a pic and i can help u","Jackson is struggling to assemble furniture and asking Sophia for help, who offers to assist remotely."
d4b160d9,"Julia: hey wanna go on a road trip this weekend?
Matt: sounds awesome where did u want to go?
Julia: maybe the beach or the mountains
Matt: beach sounds perfect","Julia and Matt are planning a weekend road trip and discussing potential destinations, including the beach or the mountains."
e61b78fe,"Emily: omg we need to plan a surprise party for sarahs bday
Matt: yaa when were u thinking
Emily: idk maybe next weekend
Matt: sounds good to me whats the plan
Emily: well we need to get her favorite cake and decorations
Matt: ill take care of the cake u get the decorations
Emily: k sounds good and we need to keep it a secret
Matt: dont worry my lips are sealed","Emily and Matt are planning a surprise birthday party for Sarah, they are deciding on the details such as cake and decorations, and are trying to keep it a secret."
7a05fb2e,"Chris: hey wanna go on a road trip this weekend
David: where did u have in mind
Chris: idk maybe the beach
David: sounds good to me whos driving
Chris: we can take my car
David: k and what time were u thinking of leaving
Chris: how about 8 am
David: sounds like a plan","Chris and David are planning a weekend road trip to the beach, they are discussing the details such as transportation and departure time."
0284de99,"Jessica: hey do u need to go grocery shopping
Mike: yeah i need to get some milk
Jessica: ok i need to get some eggs and bread
Mike: ill come with u
Jessica: k meet u at the store at 5
Mike: sounds good and dont forget to get some coffee
Jessica: lol how could i forget","Jessica and Mike are planning to go grocery shopping together, they are discussing the items they need to buy and making plans to meet at the store."
877c41f4,"Samantha: omg have u seen my cat
Tom: no i havent
Samantha: im freaking out i cant find her anywhere
Tom: dont worry well find her
Samantha: i hope so i put up posters around the neighborhood
Tom: good idea and ill check with the neighbors
Samantha: thanks tom u r a lifesaver","Samantha's cat is missing and she is frantically searching for it, Tom is trying to help her by checking with the neighbors and suggesting she put up posters."
e1e1bf2e,"Alex: hey wanna go on a road trip this weekend
Ryan: yeah where did u have in mind
Alex: idk maybe the mountains
Ryan: sounds good to me whos driving
Alex: we can take my car
Ryan: k and what time were u thinking of leaving
Alex: how about 7 am
Ryan: sounds like a plan and dont forget to bring snacks","Alex and Ryan are planning a weekend road trip to the mountains, they are discussing the details such as transportation, departure time, and snacks."
7dd5867a,"Katie: ugh i cant sleep bc of the noise
James: whats going on
Katie: my roommate is being so loud
James: have u talked to her about it
Katie: yeah but she just ignores me
James: maybe we should talk to the landlord
Katie: good idea ill go with u","Katie is having trouble sleeping due to her noisy roommate, James is suggesting she talk to the landlord about the issue."
5c3a8d2c,"Ben: hey have u started studying for the exam
Emily: yeah i started last night
Ben: good im still trying to finish the homework
Emily: lol u better get on that
Ben: ik i know ill be up all night
Emily: dont forget to take breaks u dont want to burn out","Ben and Emily are discussing their school work, Ben is still trying to finish his homework while Emily has already started studying for the exam."
cc1506ac,"Matthew: hey have u booked ur flight yet
Daniel: no not yet
Matthew: u should do it ASAP prices are going up
Daniel: ok ill do it now
Matthew: make sure to use a private browser
Daniel: why
Matthew: so they cant track ur cookies and raise the prices","Matthew is advising Daniel to book his flight as soon as possible, and to use a private browser to avoid price increases."
